country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",08-11-2025 15:00:00,23.264759,77.381568,PM10,75.0,138.0,102.0
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",08-11-2025 15:00:00,19.16485,73.23409,PM10,43.0,138.0,90.0
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",08-11-2025 15:00:00,19.0243902,73.0406721,NO2,4.0,28.0,8.0
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",08-11-2025 15:00:00,19.0243902,73.0406721,NH3,1.0,4.0,2.0
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",08-11-2025 15:00:00,19.786089,72.757971,PM10,54.0,144.0,97.0
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",08-11-2025 15:00:00,19.786089,72.757971,SO2,4.0,37.0,31.0
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",08-11-2025 15:00:00,22.7524,75.8872,CO,20.0,30.0,20.0
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",08-11-2025 15:00:00,22.7084,75.8815,SO2,25.0,29.0,27.0
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",08-11-2025 15:00:00,23.163174,79.973061,PM10,76.0,130.0,95.0
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",08-11-2025 15:00:00,23.218135,79.95777,NO2,18.0,131.0,47.0
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",08-11-2025 15:00:00,19.9629,79.298714,NO2,31.0,32.0,31.0
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",08-11-2025 15:00:00,19.9629,79.298714,SO2,29.0,29.0,29.0
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",08-11-2025 15:00:00,19.9629,79.298714,CO,22.0,42.0,30.0
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",08-11-2025 15:00:00,19.9775302,79.2337086,CO,35.0,41.0,39.0
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",08-11-2025 15:00:00,20.918946,74.776388,PM2.5,,,
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",08-11-2025 15:00:00,20.918946,74.776388,CO,8.0,61.0,20.0
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",08-11-2025 15:00:00,21.001264,75.565602,PM10,101.0,274.0,149.0
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",08-11-2025 15:00:00,21.001264,75.565602,NH3,2.0,3.0,3.0
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",08-11-2025 15:00:00,19.2243333,72.8658113,NH3,1.0,2.0,1.0
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",08-11-2025 15:00:00,18.9767,72.838,NO2,27.0,132.0,52.0
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",08-11-2025 15:00:00,18.9767,72.838,CO,1.0,56.0,1.0
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",08-11-2025 15:00:00,19.11074,72.86084,PM2.5,52.0,135.0,78.0
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",08-11-2025 15:00:00,19.11074,72.86084,NO2,30.0,114.0,65.0
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",08-11-2025 15:00:00,19.11074,72.86084,CO,2.0,44.0,7.0
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",08-11-2025 15:00:00,19.0364585,72.8954371,PM2.5,,,
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",08-11-2025 15:00:00,19.0364585,72.8954371,PM10,,,
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",08-11-2025 15:00:00,20.555712,74.529236,CO,12.0,102.0,18.0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",08-11-2025 15:00:00,19.053536,72.84643,NH3,,,
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",08-11-2025 15:00:00,19.053536,72.84643,CO,6.0,68.0,24.0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",08-11-2025 15:00:00,19.065931,72.862131,NO2,17.0,63.0,44.0
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",08-11-2025 15:00:00,19.23241,72.86895,PM10,89.0,151.0,120.0
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",08-11-2025 15:00:00,19.23241,72.86895,NH3,6.0,15.0,12.0
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",08-11-2025 15:00:00,19.10078,72.87462,OZONE,7.0,8.0,7.0
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",08-11-2025 15:00:00,18.91,72.82,NH3,3.0,3.0,3.0
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",08-11-2025 15:00:00,19.04946,72.923,PM2.5,22.0,136.0,84.0
