country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","08-11-2025 15:00:00",28.9535882,77.7622941,NO2,29,108,66
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","08-11-2025 15:00:00",28.2348927,77.8683002,PM2.5,113,408,287
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","08-11-2025 15:00:00",28.2348927,77.8683002,NH3,1,1,1
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","08-11-2025 15:00:00",28.2348927,77.8683002,SO2,14,15,15
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","08-11-2025 15:00:00",26.766433,80.927299,SO2,25,26,25
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","08-11-2025 15:00:00",26.868120,81.005119,CO,32,40,37
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","08-11-2025 15:00:00",26.868120,81.005119,OZONE,29,42,37
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","08-11-2025 15:00:00",26.906111,80.948222,NO2,28,50,40
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","08-11-2025 15:00:00",26.906111,80.948222,CO,19,77,40
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","08-11-2025 15:00:00",26.906111,80.948222,OZONE,10,79,42
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB","08-11-2025 15:00:00",25.301778,82.996789,NO2,8,8,8
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB","08-11-2025 15:00:00",25.301778,82.996789,NH3,1,1,1
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","08-11-2025 15:00:00",25.262326,82.995408,PM2.5,20,82,44
